iteration	evaluations	runtime[s]	distance[MIN]
1	25	0.028	4804.504448213986
2	50	0.03	4692.849205218947
3	75	0.032	4692.849205218947
4	100	0.033	4658.155750960395
5	125	0.049	4658.155750960395
6	150	0.053	4658.155750960395
7	175	0.057	4658.155750960395
8	200	0.061	4658.155750960395
9	225	0.062	4492.941062898902
10	250	0.064	4492.941062898902
11	275	0.065	4492.941062898902
12	300	0.067	4492.941062898902
13	325	0.068	4492.941062898902
14	350	0.069	4492.941062898902
15	375	0.071	4492.941062898902
16	400	0.072	4492.941062898902
17	425	0.074	4492.941062898902
18	450	0.075	4393.934797200829
19	475	0.076	4393.934797200829
20	500	0.081	4393.934797200829
21	525	0.082	4393.934797200829
22	550	0.083	4245.114582335691
23	575	0.084	4245.114582335691
24	600	0.085	4245.114582335691
25	625	0.086	4245.114582335691
26	650	0.087	4245.114582335691
27	675	0.088	4245.114582335691
28	700	0.089	4245.114582335691
29	725	0.09	4245.114582335691
30	750	0.091	4245.114582335691
31	775	0.092	4245.114582335691
32	800	0.093	4245.114582335691
33	825	0.094	4245.114582335691
34	850	0.095	4245.114582335691
35	875	0.095	4231.740514349578
36	900	0.096	4231.740514349578
37	925	0.097	4231.740514349578
38	950	0.098	4231.740514349578
39	975	0.099	4231.740514349578
40	1000	0.1	4231.740514349578
41	1025	0.1	4231.740514349578
42	1050	0.102	4231.740514349578
43	1075	0.107	4217.933726250716
44	1100	0.11	4217.933726250716
45	1125	0.111	4088.2713490811684
46	1150	0.112	4088.2713490811684
47	1175	0.113	4088.2713490811684
48	1200	0.113	4088.2713490811684
49	1225	0.114	4088.2713490811684
50	1250	0.115	4088.2713490811684
51	1275	0.116	4088.2713490811684
52	1300	0.117	4088.2713490811684
53	1325	0.117	4064.978142973516
54	1350	0.118	4035.136329182706
55	1375	0.119	4035.136329182706
56	1400	0.12	4035.136329182706
57	1425	0.121	4035.136329182706
58	1450	0.122	4035.136329182706
59	1475	0.123	4035.136329182706
60	1500	0.124	4035.136329182706
61	1525	0.124	4035.136329182706
62	1550	0.125	4035.136329182706
63	1575	0.126	4035.136329182706
64	1600	0.127	4035.136329182706
65	1625	0.128	4035.136329182706
66	1650	0.128	4035.136329182706
67	1675	0.129	4035.136329182706
68	1700	0.13	3971.2583687178144
69	1725	0.13	3957.444184334744
70	1750	0.131	3957.444184334744
71	1775	0.132	3882.2924690465843
72	1800	0.133	3882.2924690465843
73	1825	0.133	3882.2924690465843
74	1850	0.134	3882.2924690465843
75	1875	0.135	3882.2924690465843
76	1900	0.135	3882.2924690465843
77	1925	0.136	3882.2924690465843
78	1950	0.137	3882.2924690465843
79	1975	0.138	3882.2924690465843
80	2000	0.138	3882.2924690465843
81	2025	0.139	3852.20569539817
82	2050	0.14	3852.20569539817
83	2075	0.141	3852.20569539817
84	2100	0.141	3851.1041449290824
85	2125	0.142	3851.1041449290824
86	2150	0.143	3851.1041449290824
87	2175	0.143	3851.1041449290824
88	2200	0.144	3851.1041449290824
89	2225	0.145	3840.9914208013215
90	2250	0.145	3748.929320260281
91	2275	0.146	3723.907817446233
92	2300	0.146	3723.907817446233
93	2325	0.147	3723.907817446233
94	2350	0.148	3723.907817446233
95	2375	0.148	3723.907817446233
96	2400	0.149	3723.907817446233
97	2425	0.15	3723.907817446233
98	2450	0.15	3723.907817446233
99	2475	0.151	3723.907817446233
100	2500	0.152	3707.134948209934
101	2525	0.152	3707.134948209934
102	2550	0.153	3707.134948209934
103	2575	0.154	3707.134948209934
104	2600	0.155	3707.134948209934
105	2625	0.156	3686.2225420010495
106	2650	0.156	3610.61288506939
107	2675	0.157	3595.1839520045805
108	2700	0.158	3595.1839520045805
109	2725	0.159	3595.1839520045805
110	2750	0.16	3595.1839520045805
111	2775	0.16	3595.1839520045805
112	2800	0.161	3580.795597643781
113	2825	0.162	3580.795597643781
114	2850	0.172	3580.795597643781
115	2875	0.173	3580.795597643781
116	2900	0.174	3580.795597643781
117	2925	0.175	3580.795597643781
118	2950	0.176	3580.795597643781
119	2975	0.176	3580.795597643781
120	3000	0.177	3580.795597643781
121	3025	0.178	3574.6473785690523
122	3050	0.178	3574.6473785690523
123	3075	0.179	3526.3531970117065
124	3100	0.18	3526.3531970117065
125	3125	0.181	3526.3531970117065
126	3150	0.181	3526.3531970117065
127	3175	0.182	3526.3531970117065
128	3200	0.183	3526.3531970117065
129	3225	0.183	3526.3531970117065
130	3250	0.184	3526.3531970117065
131	3275	0.185	3526.3531970117065
132	3300	0.186	3526.3531970117065
133	3325	0.186	3516.244056809176
134	3350	0.187	3500.1707421529754
135	3375	0.188	3500.1707421529754
136	3400	0.188	3443.0462726150363
137	3425	0.189	3443.0462726150363
138	3450	0.19	3372.0962668420816
139	3475	0.19	3372.0962668420816
140	3500	0.191	3369.4457130969527
141	3525	0.192	3369.4457130969527
142	3550	0.192	3369.4457130969527
143	3575	0.193	3369.4457130969527
